Student_ID,First_Name,Last_Name,Gender,Age,Department,Semester,Academic_Year,Financial_Aid,International,Physics,History,Algorithms,Business,Chemistry,Arts,Database,Semester_Average,Attendance_Perc,At_Risk,Languages,Statistics,Biology,Literature,Psychology,Economics,Programming,Mathematics
S10000,Charlotte,Johnson,Male,22,Chemistry,1,2019-2020,True,True,72.6,76.5,80.9,72.1,72.1,81.1,77.1,76.1,81.8,False,,,,,,,,
S10000,Charlotte,Johnson,Male,22,Chemistry,2,2019-2020,True,True,,,63.7,70.9,,,64.6,70.1,79.1,False,76.0,70.9,74.5,70.4,,,,
S10000,Charlotte,Johnson,Male,22,Chemistry,3,2020-2021,True,True,,,,,73.6,66.1,80.6,71.7,81.4,False,68.7,,,66.2,74.8,72.1,,
S10000,Charlotte,Johnson,Male,22,Chemistry,4,2020-2021,True,True,71.8,,70.2,,,75.1,,71.7,81.1,False,,,67.5,,,,73.8,
S10001,Charlotte,Lopez,Male,24,Computer Science,1,2018-2019,True,True,88.8,,,99.0,89.6,,99.9,94.7,85.2,False,,,,96.0,,,,
S10001,Charlotte,Lopez,Male,24,Computer Science,2,2018-2019,True,True,96.7,,,99.4,,,,95.3,93.8,False,89.0,,,95.1,,96.5,,
S10001,Charlotte,Lopez,Male,24,Computer Science,3,2019-2020,True,True,,89.0,100.0,,98.2,,,94.8,86.9,False,,,94.1,,,92.8,,
S10001,Charlotte,Lopez,Male,24,Computer Science,4,2019-2020,True,True,,,100.0,,100.0,,,98.0,91.9,False,,93.8,,95.3,98.8,,100.0,
S10002,Noah,Rodriguez,Male,21,Business,1,2021-2022,True,False,,67.2,,,,61.4,,61.0,82.7,False,56.4,,,,60.0,,64.0,56.8
S10002,Noah,Rodriguez,Male,21,Business,2,2021-2022,True,False,,,62.0,69.1,,,,64.4,80.5,False,64.2,,,,59.1,67.4,,
S10002,Noah,Rodriguez,Male,21,Business,3,2022-2023,True,False,,66.5,62.2,,49.3,70.1,62.8,63.1,79.1,False,60.9,,,,70.2,,,
S10002,Noah,Rodriguez,Male,21,Business,4,2022-2023,True,False,61.3,52.4,,,69.8,,,61.5,74.6,False,,,,,,64.1,59.8,
